index	hemisphere	x_center	y_center	z_center	lobe	sublobe	power_network	yeo7_network	yeo17_network	SourceAtlasName	SourceAtlasIndex
568	R	18.57	-95.81	-14.35	Occipital	lateraloccipital	Visual_1	7Networks_1	17Networks_1	russome-right	568
569	R	28.16	-90.17	-8.56	Occipital	lateraloccipital	Visual_1	7Networks_1	17Networks_1	russome-right	569
570	R	31.28	-80.43	-12.96	Occipital	fusiform	Visual_1	7Networks_1	17Networks_1	russome-right	570
571	R	13.29	-88.79	-5.51	Occipital	lateraloccipital	Visual_1	7Networks_1	17Networks_1	russome-right	571
572	R	25.06	-77.57	-7.77	Occipital	lateraloccipital	Visual_2	7Networks_1	17Networks_1	russome-right	572
573	R	15.86	-76.04	-6.46	Occipital	lingual	Visual_2	7Networks_1	17Networks_1	russome-right	573
574	R	5.77	-81.28	23.42	Occipital	cuneus	Visual_2	7Networks_1	17Networks_2	russome-right	574
575	R	4.67	-68.05	26.36	Parietal	cuneus	Parieto_occipital	7Networks_1	17Networks_2	russome-right	575
576	R	17.49	-64.22	17.56	Occipital	precuneus	Visual_2	7Networks_1	17Networks_11	russome-right	576
577	R	13.39	-58.15	22.26	Parietal	precuneus	Parieto_occipital	7Networks_7	17Networks_16	russome-right	577
578	R	20.74	-21.29	-18.05	Temporal	???	Zero	7Networks_5	17Networks_15	russome-right	578
579	R	19.99	-14.81	-20.82	Temporal	???	Zero	7Networks_5	17Networks_9	russome-right	579
580	R	16.08	-30.45	-11.83	None	???	Zero	7Networks_7	17Networks_15	russome-right	580
581	R	29.73	-18.28	-19.19	Temporal	???	Zero	FreeSurfer_Defined_Medial_Wall	FreeSurfer_Defined_Medial_Wall	russome-right	581
582	R	29.91	-25.79	-14.36	Temporal	???	Zero	FreeSurfer_Defined_Medial_Wall	FreeSurfer_Defined_Medial_Wall	russome-right	582
583	R	9.44	24.45	57.24	Frontal	superiorfrontal	DMN	7Networks_7	17Networks_17	russome-right	583
584	R	10.69	36.01	50.55	Frontal	superiorfrontal	Frontoparietal_1	7Networks_7	17Networks_16	russome-right	584
585	R	16.16	45.23	37.83	Frontal	rostralmiddlefrontal	DMN	7Networks_7	17Networks_17	russome-right	585
586	R	26.11	44.14	26.09	Frontal	rostralmiddlefrontal	Cingulo_opercular	7Networks_4	17Networks_8	russome-right	586
587	R	19.0	60.36	-0.3	Frontal	frontalpole	Frontoparietal 2	7Networks_5	17Networks_10	russome-right	587
588	R	27.92	53.66	10.68	Frontal	rostralmiddlefrontal	Frontoparietal 2	7Networks_6	17Networks_13	russome-right	588
589	R	11.04	60.34	6.58	Frontal	superiorfrontal	DMN	7Networks_7	17Networks_10	russome-right	589
590	R	12.38	44.14	2.99	Frontal	medialorbitofrontal	Salience	7Networks_7	17Networks_16	russome-right	590
591	R	19.19	57.88	17.87	Frontal	rostralmiddlefrontal	Frontoparietal_1	7Networks_7	17Networks_13	russome-right	591
592	R	7.01	50.13	14.13	Frontal	superiorfrontal	DMN	7Networks_7	17Networks_16	russome-right	592
593	R	13.71	37.76	12.47	Frontal	rostralanteriorcingulate	Frontoparietal_1	7Networks_7	17Networks_16	russome-right	593
594	R	5.11	48.2	25.04	Frontal	superiorfrontal	DMN	7Networks_7	17Networks_16	russome-right	594
595	R	12.65	53.43	26.83	Frontal	rostralmiddlefrontal	Frontoparietal_1	7Networks_7	17Networks_17	russome-right	595
596	R	5.07	45.59	39.9	Frontal	superiorfrontal	DMN	7Networks_7	17Networks_17	russome-right	596
597	R	6.62	33.78	33.95	Frontal	superiorfrontal	Frontoparietal_1	7Networks_7	17Networks_17	russome-right	597
598	R	20.2	32.25	39.34	Frontal	superiorfrontal	Frontoparietal 2	7Networks_7	17Networks_16	russome-right	598
599	R	29.1	35.42	33.03	Frontal	rostralmiddlefrontal	Cingulo_opercular	7Networks_4	17Networks_8	russome-right	599
600	R	16.81	26.67	51.19	Frontal	superiorfrontal	DMN	7Networks_7	17Networks_16	russome-right	600
601	R	25.32	25.61	42.9	Frontal	rostralmiddlefrontal	Frontoparietal 2	7Networks_6	17Networks_8	russome-right	601
602	R	16.62	19.7	52.1	Frontal	superiorfrontal	Frontoparietal 2	7Networks_7	17Networks_16	russome-right	602
603	R	33.04	22.57	45.06	Frontal	rostralmiddlefrontal	Frontoparietal_1	7Networks_6	17Networks_8	russome-right	603
604	R	23.64	21.23	54.19	Frontal	caudalmiddlefrontal	Frontoparietal_1	7Networks_7	17Networks_16	russome-right	604
605	R	30.57	13.91	51.98	Frontal	caudalmiddlefrontal	Frontoparietal_1	7Networks_6	17Networks_13	russome-right	605
606	R	30.54	16.13	37.2	Frontal	caudalmiddlefrontal	Frontoparietal 2	7Networks_6	17Networks_13	russome-right	606
607	R	30.22	10.19	-22.42	Temporal	superiortemporal	Zero	7Networks_5	17Networks_9	russome-right	607
608	R	38.79	-22.16	5.29	Temporal	insula	Cingulo_opercular	7Networks_2	17Networks_4	russome-right	608
609	R	44.29	-13.32	-1.83	Temporal	superiortemporal	Cingulo_opercular	7Networks_2	17Networks_4	russome-right	609
610	R	48.54	7.37	-8.75	Temporal	superiortemporal	Cingulo_opercular	7Networks_4	17Networks_4	russome-right	610
611	R	42.84	8.87	-22.07	Temporal	superiortemporal	Ventral_Attention	7Networks_7	17Networks_17	russome-right	611
612	R	56.21	-8.71	3.43	Temporal	superiortemporal	Ventral_Attention	7Networks_2	17Networks_4	russome-right	612
613	R	50.61	0.38	-10.98	Temporal	superiortemporal	Cingulo_opercular	7Networks_2	17Networks_14	russome-right	613
614	R	53.29	-10.57	-5.92	Temporal	superiortemporal	Ventral_Attention	7Networks_2	17Networks_14	russome-right	614
615	R	51.22	-12.38	-13.32	Temporal	superiortemporal	DMN	7Networks_7	17Networks_17	russome-right	615
616	R	58.06	-4.6	-18.6	Temporal	middletemporal	DMN	7Networks_7	17Networks_16	russome-right	616
617	L	-11.67	-17.2	5.62	subcortical	Left-Thalamus-Proper	na	na	na	aseg	10
618	L	-14.36	10.19	8.91	subcortical	Left-Caudate	na	na	na	aseg	11
619	L	-26.47	0.75	-1.65	subcortical	Left-Putamen	na	na	na	aseg	12
620	L	-19.98	-2.33	-3.54	subcortical	Left-Pallidum	na	na	na	aseg	13
621	L	-24.29	-22.06	-14.01	subcortical	Left-Hippocampus	na	na	na	aseg	17
622	L	-23.55	-4.17	-20.13	subcortical	Left-Amygdala	na	na	na	aseg	18
623	L	-8.81	10.9	-9.43	subcortical	Left-Accumbens-area	na	na	na	aseg	26
624	R	9.8	-15.81	5.97	subcortical	Right-Thalamus-Proper	na	na	na	aseg	49
625	R	12.47	11.94	8.07	subcortical	Right-Caudate	na	na	na	aseg	50
626	R	24.45	3.52	-2.15	subcortical	Right-Putamen	na	na	na	aseg	51
627	R	18.72	-1.42	-2.53	subcortical	Right-Pallidum	na	na	na	aseg	52
628	R	23.58	-20.65	-14.87	subcortical	Right-Hippocampus	na	na	na	aseg	53
629	R	20.56	-3.82	-20.57	subcortical	Right-Amygdala	na	na	na	aseg	54
630	R	6.76	12.04	-8.82	subcortical	Right-Accumbens-area	na	na	na	aseg	58
